time[s],ax[m/s^2],ay[m/s^2],az[m/s^2]
15.651,0.07166,0.51608,0.18795
15.662,0.07166,0.51608,0.18795
15.677,0.07243,0.53762,-0.09485
15.687,0.07243,0.53762,-0.09485
15.698,0.1026,0.29284,-0.1315
15.709,0.12929,-0.02171,0.03168
15.72,0.12929,-0.02171,0.03168
15.738,0.04124,0.00648,0.22879
15.75,0.04124,0.00648,0.22879
15.761,0.04051,0.05015,0.20975
15.772,-0.01981,0.20962,0.27232
15.788,-0.04445,0.25542,0.28279
15.799,-0.04445,0.25542,0.28279
15.81,-0.05363,0.19963,0.22303
15.821,-0.04176,0.16232,0.14716
15.831,-0.04176,0.16232,0.14716
15.841,0.01269,0.1777,0.08406
15.855,0.01401,0.21176,0.11871
15.866,0.01401,0.21176,0.11871
15.877,-0.04258,0.21143,0.26269
15.887,-0.04258,0.21143,0.26269
15.905,0.01631,0.23462,0.23566
15.917,0.01631,0.23462,0.23566
15.927,0.03782,0.20148,0.20457
15.937,0.05976,0.09844,0.26372
15.956,0.07794,0.03702,0.26034
15.967,0.07794,0.03702,0.26034
15.977,0.06862,0.01451,0.24288
15.988,0.02053,0.08354,0.22598
16.001,0.02053,0.08354,0.22598
16.012,0.02243,0.12867,0.10197
16.023,0.04046,0.17147,-0.02273
16.033,0.04046,0.17147,-0.02273
16.045,0.059,0.1552,-0.05513
16.057,0.05409,0.1289,-0.01591
16.068,0.05409,0.1289,-0.01591
16.078,0.04039,0.09768,0.0077
16.089,0.00056,0.05396,0.10326
16.1,0.00056,0.05396,0.10326
16.111,0.00961,0.03735,0.05726
16.122,0.01109,0.02925,0.02236
16.133,0.01109,0.02925,0.02236
16.144,-0.00311,0.10978,-0.06826
16.155,0.0253,0.12038,-0.12343
16.172,0.02663,0.19217,-0.11233
16.183,0.02663,0.19217,-0.11233
16.194,-0.02387,0.07678,-0.01013
16.205,0.00104,0.04659,0.03352
16.217,0.00104,0.04659,0.03352
16.229,0.06421,-0.01093,-0.04526
16.239,0.03016,0.11747,-0.22857
16.25,0.03016,0.11747,-0.22857
16.263,0.00282,0.20891,-0.30524
16.274,-0.01864,0.03011,-0.17931
16.288,-0.01196,-0.17284,0.03518
16.299,-0.01196,-0.17284,0.03518
16.31,-0.01915,-0.21711,0.07923
16.321,-0.02801,-0.22412,0.14451
16.339,-0.03658,-0.19282,0.12084
16.35,-0.03658,-0.19282,0.12084
16.361,-0.05791,-0.29785,0.07313
16.372,-0.0319,-0.16847,-0.00127
16.389,0.0033,-0.0322,-0.12429
16.401,0.0033,-0.0322,-0.12429
16.412,-0.00768,0.02879,-0.07985
16.424,-0.08545,0.1113,0.03056
16.439,-0.1019,0.02864,0.14034
16.45,-0.1019,0.02864,0.14034
16.461,-0.03576,-0.05514,0.20304
16.473,-0.03705,-0.01456,0.18957
16.483,-0.03705,-0.01456,0.18957
16.494,-0.07053,0.03341,0.18466
16.505,-0.07959,0.07802,0.14318
16.516,-0.07959,0.07802,0.14318
16.527,-0.07033,0.18079,0.0455
16.538,0.02516,0.10824,-0.08795
16.555,0.03864,0.13049,0.03473
16.566,0.03864,0.13049,0.03473
16.576,0.01121,0.08939,0.13599
16.587,-0.03723,0.04402,0.25453
16.598,-0.03723,0.04402,0.25453
16.608,-0.00568,0.03781,0.34322
16.621,0.00213,0.06456,0.34392
16.633,0.00213,0.06456,0.34392
16.643,0.04226,0.16178,0.42183
16.654,0.05705,0.20056,0.42446
16.672,0.11143,0.19392,0.39037
16.683,0.11143,0.19392,0.39037
16.694,0.21666,0.1005,0.28845
16.705,0.36813,0.11631,0.1819
16.723,0.31343,0.13986,0.17332
16.733,0.31343,0.13986,0.17332
16.744,0.31343,0.13986,0.17332
16.754,0.10472,0.2676,0.02783
16.765,0.10472,0.2676,0.02783
16.786,0.06249,-0.07865,0.17237
16.797,0.06249,-0.07865,0.17237
