"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.698830833E-1,9.280700684E-3,-2.245330811E-3,9.730814667E0
8.798560833E-1,2.140548706E-2,6.286926270E-3,9.748178558E0
8.898290833E-1,1.586700439E-2,2.499801636E-2,9.741741943E0
8.998020831E-1,4.939727783E-3,3.802093506E-2,9.726324005E0
9.097760832E-1,-4.490661621E-4,4.251159668E-2,9.732910309E0
9.197490832E-1,-2.335144043E-2,3.323089600E-2,9.724976807E0
9.297220833E-1,-3.143463135E-2,1.826202393E-2,9.736353149E0
9.396950833E-1,-1.047821045E-2,2.619552612E-2,9.717791748E0
9.496680833E-1,-1.152603149E-2,8.666976929E-2,9.720336456E0
9.596410831E-1,-1.336720276E-1,-7.229965210E-2,9.689051514E0
9.696140832E-1,-2.309696960E-1,-5.647755432E-1,9.429042206E0
9.795870832E-1,1.161584473E-1,-3.824546814E-1,9.562115479E0
9.895600833E-1,2.981799316E-1,-1.437011719E-2,1.005114853E1
9.995330833E-1,1.541793823E-2,3.191363525E-1,9.939929810E0
1.009506083E0,-3.393443298E-1,3.049159241E-1,9.765692139E0
1.019479083E0,-5.906716919E-1,8.472381592E-2,9.876611481E0
1.029452083E0,-3.665876770E-1,5.792953491E-2,9.682016144E0
1.039425083E0,-4.297563171E-1,9.550140381E-2,9.407936096E0
1.049398083E0,-4.516108704E-1,6.107299805E-2,9.626781006E0
1.059371083E0,-3.362008667E-1,-6.586303711E-3,9.859397278E0
1.069344083E0,-3.746708679E-1,-4.071533203E-2,9.816436615E0
1.079317083E0,-4.478686523E-1,-9.834548950E-2,9.764794006E0
1.089290083E0,-4.662803650E-1,-2.014810181E-1,9.718540192E0
1.099263083E0,-3.607498169E-1,-2.420466614E-1,9.670340424E0
1.109236083E0,-5.164260864E-1,-2.984793091E-1,9.690249023E0
1.119209083E0,-6.740483093E-1,-1.688488770E-1,9.712852020E0
1.129183083E0,-6.011499023E-1,-5.837860107E-3,9.722581787E0
1.139156083E0,-5.758525085E-1,1.130149841E-1,9.802216187E0
1.149129083E0,-5.474116516E-1,1.478924561E-1,9.827663269E0
1.159102083E0,-5.975573730E-1,1.074765015E-1,9.786199493E0
1.169075083E0,-5.616320801E-1,7.798782349E-2,9.663604431E0
1.179048083E0,-5.426216125E-1,1.148112488E-1,9.649533691E0
1.189021083E0,-4.444258118E-1,9.699829102E-2,9.813592529E0
1.198994083E0,-4.564009094E-1,4.715194702E-2,9.817035370E0
1.208967083E0,-5.459147644E-1,3.891906738E-3,9.702972565E0
1.218940083E0,-6.065386963E-1,-5.269042969E-2,9.731862488E0
1.228913083E0,-5.854325867E-1,-1.005908203E-1,9.747729492E0
1.238886083E0,-4.665797424E-1,-8.367599487E-2,9.690398712E0
1.248859083E0,-4.197271729E-1,-3.891906738E-2,9.677375793E0
1.258832083E0,-3.359014893E-1,2.409988403E-2,9.701475677E0
1.268805083E0,-3.417393494E-1,7.753875732E-2,9.737550659E0
1.278778083E0,-3.749702454E-1,8.936416626E-2,9.780062256E0
1.288751083E0,-4.019142151E-1,9.235794067E-2,9.737850037E0
1.298724083E0,-4.290078735E-1,1.047821045E-1,9.708660736E0
1.308697083E0,-4.432283020E-1,1.119671631E-1,9.745633850E0
1.318670083E0,-4.299060059E-1,1.372645569E-1,9.747280426E0
1.328643083E0,-4.234693909E-1,1.335223389E-1,9.723030853E0
1.338616083E0,-4.077520752E-1,1.155596924E-1,9.711355133E0
1.348590083E0,-3.703298950E-1,9.325607300E-2,9.723180542E0
1.358563083E0,-3.246748352E-1,7.499404907E-2,9.729168091E0
1.368536083E0,-3.233276367E-1,7.439529419E-2,9.716145172E0
1.378509083E0,-3.213816833E-1,1.052311707E-1,9.721833344E0
1.388482083E0,-3.532653809E-1,1.610650635E-1,9.770631866E0
1.398455083E0,-3.628454590E-1,1.772314453E-1,9.764644318E0
1.408428083E0,-3.201841736E-1,1.577719116E-1,9.694440308E0
1.418401083E0,-2.685415649E-1,1.492396545E-1,9.667196960E0
1.428374083E0,-2.318678284E-1,1.398092651E-1,9.735455017E0
1.438347083E0,-2.219883728E-1,1.579216003E-1,9.734407196E0
1.448320083E0,-1.932481384E-1,1.607656860E-1,9.706714783E0
1.458293083E0,-1.571731567E-1,1.782792664E-1,9.742789764E0
1.468266083E0,-1.175056458E-1,2.041754150E-1,9.769733734E0
1.478239083E0,-1.133143616E-1,2.252815247E-1,9.763147430E0
1.488212083E0,-1.281335449E-1,2.276765442E-1,9.727820892E0
1.498184958E0,-1.707948303E-1,2.186952209E-1,9.688003693E0
1.508157958E0,-2.213896179E-1,1.996847534E-1,9.721234589E0
1.518130958E0,-2.327659607E-1,1.568737793E-1,9.704319763E0
1.528103958E0,-2.125579834E-1,1.213975525E-1,9.682764587E0
1.538076958E0,-1.636097717E-1,1.119671631E-1,9.723779297E0
1.548049958E0,-1.407073975E-1,9.430389404E-2,9.760602722E0
1.558023958E0,-1.197509766E-1,1.354682922E-1,9.734706573E0
1.567996958E0,-1.055305481E-1,1.880090332E-1,9.733509064E0
1.577969958E0,-1.109193420E-1,2.216889954E-1,9.750723267E0
1.587942958E0,-1.270857239E-1,2.459385681E-1,9.739646301E0
1.597915958E0,-1.414558411E-1,2.552192688E-1,9.711355133E0
1.607888958E0,-1.058299255E-1,2.878514099E-1,9.733509064E0
