"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.352470832E-1,1.073269174E-3,-1.535906922E-3,-5.962178111E-4
7.452200833E-1,2.557448577E-3,1.870010048E-3,-1.380252419E-3
7.551930833E-1,1.528938301E-4,1.602033153E-4,3.425465198E-3
7.651660831E-1,1.900193281E-3,-5.189022049E-4,2.073013457E-4
7.751390832E-1,-4.742092453E-3,3.888575360E-3,-5.232569529E-4
7.851120832E-1,-3.868309315E-3,6.333943456E-4,-5.253829993E-3
7.950850832E-1,-2.341240179E-3,-2.400492318E-3,2.928243484E-4
8.050590833E-1,-8.229720406E-4,5.127998069E-3,-1.043283613E-3
8.150320833E-1,1.500276849E-4,-1.337592024E-3,5.028879386E-4
8.250050833E-1,-8.545164019E-4,-2.992213704E-3,1.432331163E-3
8.349780831E-1,-1.695987768E-3,-2.698033582E-3,2.932770178E-3
8.449510832E-1,-9.548300877E-4,-1.714794431E-3,3.033970483E-3
8.549240832E-1,1.104767900E-3,-4.452756140E-3,3.597628325E-3
8.648970833E-1,5.102172960E-3,-2.866577357E-3,4.025598057E-3
8.748700833E-1,3.615348600E-3,2.948585898E-3,1.112167025E-3
8.848430833E-1,6.591963582E-3,7.674572989E-4,1.491679868E-4
8.948160831E-1,4.171028733E-3,-9.492984973E-4,-1.707166317E-3
9.047890832E-1,1.213588752E-3,5.496083759E-3,-3.987897187E-3
9.147620832E-1,-1.744536683E-3,1.855140552E-3,-5.434038583E-3
9.247350832E-1,-5.723565817E-3,-3.259193618E-3,-2.321868204E-3
9.347080833E-1,-8.493794128E-3,-1.086736098E-3,4.423621576E-4
9.446810833E-1,-7.394440938E-3,2.665658481E-3,1.166209346E-3
9.546540831E-1,-1.289508119E-2,1.594519429E-2,-7.380779833E-3
9.646270832E-1,-2.656908147E-2,3.777444363E-6,-2.039218508E-2
9.746000832E-1,-2.181119844E-2,-5.654600263E-2,-1.753581315E-2
9.845730832E-1,1.993172243E-2,1.776045561E-2,-1.155115757E-2
9.945460833E-1,6.164898723E-2,7.736264914E-2,-1.351218764E-2
1.004519083E0,7.834275067E-2,1.827402785E-2,-3.371146321E-2
1.014493083E0,5.379399657E-2,-2.046617866E-2,-5.551077053E-2
1.024466083E0,9.840119630E-3,1.107443590E-2,-8.199510723E-2
1.034439083E0,-3.644160554E-2,3.594047576E-2,-1.156804115E-1
1.044412083E0,-5.880203843E-2,-4.319082573E-2,-1.446609199E-1
1.054385083E0,-6.308637559E-2,-1.780210435E-2,-1.699890196E-1
1.064358083E0,-4.966351017E-2,4.143085703E-2,-1.958381981E-1
1.074331083E0,-2.046018280E-2,-3.885335755E-3,-2.283332050E-1
1.084304083E0,3.081361763E-3,-1.542614400E-2,-2.632560432E-1
1.094277083E0,2.094550803E-2,1.456572488E-2,-2.991029918E-1
1.104250083E0,2.838505059E-2,3.409574926E-2,-3.391769230E-1
1.114223083E0,2.555684000E-2,-5.376779474E-3,-3.773190379E-1
1.124196083E0,2.115516737E-2,-4.119767342E-3,-4.174198508E-1
1.134169083E0,1.995143294E-2,1.693548262E-2,-4.534674883E-1
1.144142083E0,9.570165537E-3,1.158117317E-3,-4.902657270E-1
1.154115083E0,-9.534823708E-3,3.752227873E-3,-5.299447775E-1
1.164088083E0,-2.876178175E-2,1.145941671E-2,-5.717710853E-1
1.174061083E0,-3.782096133E-2,-8.443519473E-4,-6.089561582E-1
1.184034083E0,-3.381530195E-2,-9.274587967E-3,-6.535348296E-1
1.194007083E0,-2.439934015E-2,1.835719123E-2,-6.895928383E-1
1.203980083E0,-1.335734129E-2,1.387216244E-2,-7.280992270E-1
1.213953083E0,-1.006025355E-2,-1.031143591E-2,-7.640222311E-1
1.223926083E0,-8.565421216E-3,2.684257925E-3,-7.969341278E-1
1.233900083E0,-9.986571968E-3,5.617843010E-3,-8.296069503E-1
1.243873083E0,-1.329155453E-2,-2.568447962E-3,-8.597025275E-1
1.253846083E0,-9.195715189E-3,-4.980238155E-4,-8.893324137E-1
1.263819083E0,-8.225260302E-3,1.302071474E-2,-9.185419679E-1
1.273792083E0,-4.820130300E-3,7.384622470E-3,-9.462097287E-1
1.283765083E0,-5.581794307E-3,9.239247069E-3,-9.695448279E-1
1.293738083E0,-1.016161311E-2,1.398377493E-2,-1.000515580E0
1.303711083E0,-1.251797751E-2,5.475242622E-3,-1.026767969E0
1.313684083E0,-1.521225646E-2,3.766615875E-3,-1.054585457E0
1.323657083E0,-2.240971476E-2,4.719494842E-3,-1.081366658E0
1.333630083E0,-2.238962427E-2,1.407005824E-3,-1.108758569E0
1.343603083E0,-2.617956884E-2,7.915487513E-4,-1.134777308E0
1.353576083E0,-2.293531597E-2,1.003116276E-2,-1.158399820E0
1.363549083E0,-1.929291338E-2,9.007976390E-3,-1.180643916E0
1.373522083E0,-1.617889293E-2,4.016380757E-3,-1.206018686E0
1.383495083E0,-1.000941359E-2,1.354783401E-2,-1.221671939E0
