2021年,降水量の合計(mm),平均気温(℃),日照時間(時間),アイスへの支出
1 月,348.5,3.9,68.1,510
2 月,147,6.6,113,458
3 月,114,9.7,170.4,602
4 月,208.5,12.9,234.6,708
5 月,242,18,169.6,915
6 月,164,22.5,194.3,1089
7 月,159.5,27,219,1485
8 月,294,27.1,170.3,1427
9 月,159.5,23.4,154.3,973
10 月,110.5,18.3,186.7,779
11 月,404.5,12.3,143,582
12 月,338,7,65.5,62
