time[s],awx[m/s^2],awy[m/s^2],awz[m/s^2]
16.286,-0.03247,0.05581,0.00507
16.306,-0.09129,0.07694,0.03283
16.327,-0.05231,0.1211,-0.06935
16.348,-0.035,0.10343,-0.09369
16.369,0.07355,0.04161,-0.04312
16.389,-0.04231,0.00838,0.00644
16.41,-0.06552,-0.01578,-0.00835
16.431,-0.08994,0.02321,-0.06537
16.452,-0.07856,0.09455,-0.01195
16.472,-0.06311,0.07019,0.02314
16.492,0.03289,0.03646,0.06451
16.513,0.07269,0.00163,0.07869
16.533,0.11724,0.00077,0.04016
16.556,0.12333,-0.04137,0.10294
16.577,0.06404,-0.02852,0.11443
16.598,0.00646,-0.07168,0.08443
16.618,-0.00229,-0.04941,0.01653
16.638,0.06956,-0.08767,0.00406
16.659,0.05834,-0.10479,0.0735
16.679,0.09499,-0.08403,0.0546
16.7,0.00882,-0.03939,0.00248
16.72,-0.01392,-0.04066,0.01169
16.74,-0.0006,-0.04545,0.03229
16.761,-0.02649,-0.01181,0.08727
16.782,0.04189,0.05372,0.01976
16.803,0.04032,0.01675,0.06043
16.823,0.04312,-0.01578,0.06664
16.844,0.06538,0.01276,0.02133
16.865,0.01942,0.04336,0.01469
16.885,-0.0257,-0.00666,0.0282
16.905,0.02586,-0.02877,-0.08145
16.925,0.02637,-0.03846,-0.11617
16.946,-0.0447,-0.05837,-0.05436
16.967,-0.03617,-0.05036,-0.11571
16.987,-0.03862,-0.0065,-0.0963
17.008,-0.06449,-0.00944,0.01958
17.028,-0.05068,0.00282,0.02369
17.049,-0.06521,0.09515,0.06597
17.069,-0.01664,0.13304,0.00529
17.09,0.06793,0.06416,0.05747
17.11,0.01805,0.05663,0.14675
17.131,0.09697,0.04367,0.15912
17.152,0.03735,-0.00101,0.07946
17.173,0.05463,0.00245,-0.01787
17.194,0.04029,-0.02681,-0.03406
17.215,0.03065,-0.05236,0.04469
17.236,-0.03717,-0.05521,0.13371
17.257,0.0624,-0.01732,-0.04417
17.277,-0.03529,-0.05517,0.01546
17.298,-0.05742,-0.06767,0.02314
17.318,-0.08364,-0.04287,0.05701
17.339,0.00776,0.00588,-0.03718
17.359,0.04016,0.00344,-0.09059
17.38,0.0044,-0.03123,-0.06714
17.401,-0.03054,-0.00785,-0.06343
17.421,-0.00754,0.01726,-0.08828
17.442,0.02682,0.04357,-0.10874
17.463,-0.04019,-0.01331,0.00156
17.484,-0.08054,-0.02986,-0.01028
17.504,-0.11495,-0.00978,-0.0814
17.525,-0.08798,-0.00952,-0.12713
17.545,-0.05831,0.04221,-0.07773
17.566,-0.07476,0.00169,0.11898
17.586,-0.05026,-0.00856,0.15133
17.606,0.05052,0.05486,0.11228
17.627,0.09911,0.07393,0.17251
17.648,0.11694,0.07678,0.16913
17.669,0.11655,0.04274,0.20927
17.689,0.11215,0.02133,0.19533
17.709,0.0557,-0.00243,0.18964
17.73,0.06833,-0.03944,0.05784
17.75,0.05601,-0.04864,-0.0104
17.77,-0.06239,-0.06595,0.00493
17.794,-0.00964,-0.06695,-0.07101
17.815,-0.03139,-0.1083,-0.09
17.836,0.00106,-0.09847,-0.11852
17.856,-0.00755,-0.02571,-0.08881
17.877,0.03195,-0.04039,-0.04811
17.898,0.08951,-0.01622,-0.06527
17.919,0.06746,0.0021,0.0915
17.939,-0.03896,0.00536,0.12667
17.959,0.02215,0.03995,0.03905
17.979,0.06795,0.078,0.03016
18,0.0977,0.05302,0.14864
18.021,0.1009,0.00293,0.18782
18.041,0.09525,0.01658,0.18519
18.062,0.00611,0.05973,0.14352
18.083,-0.03918,0.04283,0.02898
18.104,-0.0817,-0.02122,-0.00641
18.124,-0.05009,-0.01919,-0.00945
18.145,-0.07501,-0.05133,0.1133
18.165,0.09029,0.01725,0.12328
18.186,0.10335,0.05614,0.12273
18.207,0.07184,0.00009,0.21575
18.228,0.07084,0.0347,0.06709
18.249,0.03723,0.007,0.02093
18.271,0.09009,0.00525,0.02428
18.291,0.04215,-0.04231,0.07357
18.311,0.09765,-0.03308,0.01173
18.332,0.00185,-0.03101,-0.0098
18.353,-0.01301,0.00963,-0.0403
18.373,-0.06255,-0.00424,0.00291
18.393,-0.06145,0.05899,-0.0299
18.413,-0.05684,0.01475,0.01502
18.434,-0.00336,0.04448,-0.02555
18.455,-0.02605,0.00333,0.03779
18.475,-0.01737,0.01258,0.07194
18.496,-0.0158,0.01331,0.09037
18.517,0.05949,0.08009,-0.06523
18.538,-0.00162,0.0611,-0.02361
18.558,0.03884,0.01267,0.01342
18.579,0.00977,0.01673,0.06852
18.599,-0.00043,0.00973,-0.00805
18.62,0.00008,0.03088,-0.03493
18.64,-0.01228,0.0009,-0.0163
18.663,-0.08445,0.01049,-0.00777
18.684,-0.07072,0.02263,-0.02012
18.704,0.00664,-0.01025,-0.0124
18.724,-0.01345,-0.01238,0.00848
18.745,0.05218,0.00725,0.00415
18.766,-0.08524,0.0048,0.13734
18.786,-0.03008,0.02482,0.05097
18.807,0.05687,0.02566,0.00997
18.827,-0.0386,-0.01119,0.01023
18.847,0.0426,-0.03461,-0.04838
18.868,-0.01194,-0.04116,-0.07252
18.889,-0.14162,-0.03073,-0.10239
18.909,-0.12501,-0.02872,-0.09514
18.93,-0.17214,-0.0125,-0.10756
18.95,-0.20184,-0.00717,-0.05188
18.971,-0.08906,0.00131,-0.10118
18.991,-0.08444,0.01468,-0.02865
19.011,-0.09307,-0.02004,0.04664
19.031,-0.00814,0.01107,0.01755
19.052,-0.05724,-0.0191,0.02265
19.072,-0.08734,-0.03492,-0.03468
19.092,-0.08901,-0.0357,-0.06463
19.113,-0.13242,-0.04829,-0.07061
19.134,-0.13417,0.02149,-0.07456
19.154,-0.07593,0.01537,-0.09282
19.176,-0.11556,0.04067,-0.06704
19.196,-0.04143,0.02424,-0.02767
19.216,-0.11179,0.10089,0.09737
19.237,-0.02419,0.1604,0.10881
19.258,-0.02696,0.1789,0.09954
19.278,-0.02928,0.13467,0.19162
19.299,-0.0446,0.11661,0.16999
19.319,-0.04945,0.09651,0.09234
19.34,-0.00948,0.09006,-0.01887
19.361,-0.05374,-0.0201,0.04474
19.381,-0.01251,-0.06411,-0.05741
19.401,-0.11467,-0.0859,-0.09119
19.422,-0.16484,-0.02757,-0.07652
19.442,-0.10297,0.0237,-0.05402
19.465,-0.19403,-0.0039,0.01999
19.486,-0.21857,-0.01864,0.02896
19.506,-0.22085,-0.02574,0.00431
19.526,-0.04591,-0.01228,-0.11129
19.547,-0.09964,-0.03,0.03262
19.567,-0.04467,0.00319,0.05195
19.588,-0.03525,-0.01381,0.0566
19.609,0.02282,0.04117,0.00907
19.629,0.04569,0.06197,0.03829
19.649,-0.04323,0.03873,0.05967
19.67,-0.03758,0.02305,0.00094
19.691,-0.07696,0.02335,-0.02496
19.711,-0.03161,0.02302,-0.05332
19.732,-0.04696,0.05109,-0.12618
19.753,-0.11224,0.05789,-0.07993
19.774,-0.15245,0.02797,-0.06134
19.794,-0.08497,0.07326,-0.10314
19.814,-0.10657,0.07051,-0.07507
19.834,-0.10961,0.11132,0.11243
19.855,-0.02229,0.12678,0.07732
19.876,-0.05435,0.1467,0.10909
19.896,0.0338,0.12659,0.12802
19.917,-0.07315,0.10407,0.19197
19.937,-0.13978,0.08867,0.12432
19.958,-0.16418,0.07256,0.1074
19.978,-0.09162,0.03429,0.02928
19.998,-0.13061,0.05263,0.0083
20.018,-0.08752,0.06233,-0.00991
20.039,-0.14485,0.04421,0.06753
20.06,-0.09069,0.06798,-0.02227
20.08,0.00367,-0.00786,-0.08996
20.101,-0.00691,0.03138,-0.06026
20.122,-0.04157,0.07679,-0.0914
20.143,-0.04191,-0.02966,-0.12736
20.163,-0.07704,-0.02859,-0.19457
20.184,-0.10857,0.05442,-0.11609
20.204,-0.07108,0.0455,-0.17847
20.225,-0.07927,0.06806,-0.20758
20.246,-0.18835,0.00933,-0.14416
20.266,-0.19298,-0.00529,-0.14855
20.287,-0.13633,-0.01389,-0.09326
20.308,-0.11399,-0.02096,0.03252
20.329,-0.07409,0.03733,0.02085
20.349,-0.03341,0.11711,0.0725
20.37,-0.05247,0.11258,0.11518
20.39,-0.01355,0.17906,0.04462
20.411,0.04957,0.14671,-0.01086
20.431,0.00176,0.11253,0.06443
20.451,0.08826,0.02948,0.11207
20.472,0.06784,0.03684,0.06957
20.492,0.14792,0.00423,-0.08347
20.513,0.00851,0.04061,-0.13897
20.534,0.02213,-0.031,-0.40503
20.555,-0.07995,-0.17191,-0.45771
20.576,-0.12821,-0.17517,-0.53952
20.596,-0.0168,-0.23463,-0.69735
20.617,-0.14572,-0.34855,-0.77014
20.637,-0.14647,-0.37466,-0.70404
20.658,-0.30199,-0.32531,-0.53211
20.679,-0.29352,-0.2881,-0.47607
20.699,-0.36095,-0.133,-0.21366
20.72,-0.28753,-0.09194,-0.14759
20.741,-0.40703,-0.13499,0.16258
20.761,-0.39874,-0.00016,0.19055
20.782,-0.44059,-0.00379,0.24256
20.802,-0.48555,-0.12108,-0.04486
20.822,-0.56408,-0.20972,-0.11096
20.843,-0.47419,-0.25988,-0.31831
20.863,-0.48993,-0.32738,-0.3792
20.884,-0.37992,-0.34273,-0.47307
20.904,-0.52252,-0.36961,-0.38133
20.925,-0.48313,-0.34075,-0.46062
20.946,-0.458,-0.25173,-0.47817
20.966,-0.43987,-0.20887,-0.3574
20.986,-0.48677,-0.11712,-0.24839
21.007,-0.40413,-0.05317,-0.10341
